=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 50: [50,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 28.08-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 51: [51,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 28.08-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 52: [52,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 28.08-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 53: [53,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Suporte","SDAI","NEO-23001-AS-SDA-004-MOD SUPORTE 28.08-R02","rvt","Sim","NEO-23001-PE-SDA-004-MOD SUPORTE-R02","NEO-23001-AS-SDA-001-SUPO1-R00","","","","","",""]
ROW 54: [54,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 11.09-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 55: [55,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 11.09-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 56: [56,45901,"011. SM 37 - 11.09.2025","OCLE","?","Instalações Elétricas","SPN.ELE.00-AS.001-R02-MOD","rvt","Sim"," ","","","","","","",""]
ROW 57: [57,45901,"011. SM 37 - 11.09.2025","OCLE","?","CFTV e Lógica","NEO.TEL.00-AS-.001-MOD","rvt","Sim"," ","","","","","","",""]
ROW 58: [58,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 11.09-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 59: [59,45901,"011. SM 37 - 11.09.2025","OCLE","?","PCI","NEO-23001-AS-16-PCI 11.09-MO-004-R06","rvt","Sim","NEO-23001-PE-16-PCI-MO-004-R06","NEO-23001-AS-PCI-002-SUPO1-R00","","","","","",""]
